time,error_original,error_method1,error_method2,error_method3,error_method4,similarity_top1,similarity_mean,momentum1_magnitude,momentum2_magnitude,momentum3_magnitude,momentum4_magnitude
878,18.268391925834905,15.473627513546003,14.25317738952,17.000645995371993,17.941376055159235,0.8767252455871485,0.8738973605226932,2.471466801903974,3.681302350977848,0.9391467148900161,0.00020471970190447114
879,18.31977017330894,15.545820360567875,14.342477805155607,17.08059127842797,18.018600215767595,0.9111977523404422,0.9051286572349075,2.4815965719233084,3.659247824020882,0.9342739164196578,0.0001991594882986449
880,18.28546818272052,15.591957623307879,14.394851429728506,17.131004758543092,18.06849171649698,0.8818129110249577,0.8761863725572223,2.4827299568595675,3.672453387945258,0.9373210112448036,0.000210133040715325
881,18.20677369835476,15.601655782149042,14.40538385533162,17.145482861702313,18.084329733262113,0.9127442976601202,0.906759713808414,2.4925919507103234,3.697664483435977,0.9434166625456414,0.00020674067554027648
882,18.291551902820487,15.631464711246462,14.443886626952347,17.17950739434804,18.117017331732935,0.865283013863839,0.8602265558932165,2.488848984896335,3.658002195546693,0.9339667397120667,0.0002137032708228279
883,18.27772083962967,15.629202950578687,14.457719690463179,17.185742710118763,18.121096825774618,0.9220116622517575,0.9157665487334867,2.5019748356697633,3.64401468762969,0.9310287610863212,0.00020886040344030675
884,18.216209814184236,15.604807349811901,14.438066200163348,17.165460382896466,18.100670591570367,0.8790712057958441,0.8750603170560224,2.501750876847875,3.659705250684641,0.9345841668750906,0.00021868034369274472
885,18.107313839975422,15.559461109612187,14.391595301207245,17.12440146114563,18.061366869033197,0.9147388341790698,0.9091743495707159,2.511594873012228,3.6885482286802316,0.9414802535246216,0.0002269375040497306
886,18.059364364767045,15.515610879113353,14.343297606212342,17.083442845024877,18.02270392058685,0.8983663499917606,0.8957385977809121,2.5159730976498254,3.708844450539847,0.9462223734363417,0.00023487021887101247
887,17.85608634229843,15.400883691262825,14.23151698837041,16.973867958073193,17.913844838281573,0.9031726937776912,0.8979684414135477,2.5207978547271455,3.682701363493073,0.9400568872690466,0.0002257108407663446
888,17.849698402602247,15.307854312620128,14.133619412112033,16.882644682694664,17.824580807477783,0.8904932455010255,0.8857809307713381,2.521962784886409,3.699202960918849,0.9437367309603789,0.00023408163039346843
889,17.736053725053054,15.186167080002912,14.018597173638312,16.766359000051633,17.707846477711275,0.909286146700007,0.9031143206567134,2.5284156907574444,3.6764876863818485,0.9383864049123957,0.00022581977389971703
890,17.877759083453736,15.170684586762412,14.005531788252608,16.753099677045988,17.694345173072225,0.8738375786401951,0.8695251731411225,2.5251844558462864,3.687646195720496,0.9407087100379713,0.00022992296645119246
891,17.93303056751932,15.175404549042028,14.02188970819502,16.76354343953324,17.702888698882717,0.9116499442831099,0.9069262671828857,2.533795095533053,3.6693502579792394,0.9365458329958086,0.00022285108052256804
892,17.89306309949186,15.188312355893187,14.035676353819337,16.77887269579535,17.718557671571013,0.8860826327156616,0.8818956387985398,2.534478714934328,3.6875621856386416,0.9406487792972023,0.00023131686048870177
893,17.855097274766624,15.181605210848822,14.039031290705369,16.7775868638177,17.715789540861806,0.9041947309725411,0.9017004760259739,2.5405817577651457,3.6678109475782437,0.9360683716468401,0.0002236629833170246
894,17.750477315238253,15.149839894668595,14.007016855247377,16.747882913670765,17.686656182275755,0.8865705425605234,0.8807609552453378,2.5410250547656568,3.685977751815368,0.9400996745638682,0.00023182922413826152
895,17.73958574556852,15.102797412347863,13.94026845599993,16.700223854896564,17.644771554309553,0.9152559646364004,0.9121876194188945,2.550124380586917,3.7621369613749227,0.9579572520990947,0.0002257905498941285
